Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D10,~,D_DO-35_SOD27_P5.08mm_Horizontal,235.034783,-75.96,-90.0,top
D11,~,D_DO-35_SOD27_P5.08mm_Horizontal,254.072826,-75.96,-90.0,top
D12,~,D_DO-35_SOD27_P5.08mm_Horizontal,273.11087,-75.96,-90.0,top
D13,~,D_DO-35_SOD27_P5.08mm_Horizontal,288.341304,-74.1725,-90.0,top
D14,~,D_DO-35_SOD27_P5.08mm_Horizontal,314.994565,-68.81,-90.0,top
D16,~,D_DO-35_SOD27_P5.08mm_Horizontal,71.307609,-70.5975,-90.0,top
D17,~,D_DO-35_SOD27_P5.08mm_Horizontal,90.345652,-70.5975,-90.0,top
D18,~,D_DO-35_SOD27_P5.08mm_Horizontal,109.383696,-70.5975,-90.0,top
D19,~,D_DO-35_SOD27_P5.08mm_Horizontal,128.421739,-70.5975,-90.0,top
D2,~,D_DO-35_SOD27_P5.08mm_Horizontal,86.538043,-68.81,-90.0,top
D20,~,D_DO-35_SOD27_P5.08mm_Horizontal,143.652174,-68.81,-90.0,top
D21,~,D_DO-35_SOD27_P5.08mm_Horizontal,155.075,-74.1725,-90.0,top
D22,~,D_DO-35_SOD27_P5.08mm_Horizontal,174.113043,-74.1725,-90.0,top
D23,~,D_DO-35_SOD27_P5.08mm_Horizontal,193.151087,-74.1725,-90.0,top
D24,~,D_DO-35_SOD27_P5.08mm_Horizontal,212.18913,-74.1725,-90.0,top
D25,~,D_DO-35_SOD27_P5.08mm_Horizontal,231.227174,-74.1725,-90.0,top
D26,~,D_DO-35_SOD27_P5.08mm_Horizontal,250.265217,-74.1725,-90.0,top
D27,~,D_DO-35_SOD27_P5.08mm_Horizontal,269.303261,-74.1725,-90.0,top
D28,~,D_DO-35_SOD27_P5.08mm_Horizontal,280.726087,-70.5975,-90.0,top
D29,~,D_DO-35_SOD27_P5.08mm_Horizontal,284.533696,-72.385,-90.0,top
D3,~,D_DO-35_SOD27_P5.08mm_Horizontal,105.576087,-68.81,-90.0,top
D31,~,D_DO-35_SOD27_P5.08mm_Horizontal,75.115217,-72.385,-90.0,top
D32,~,D_DO-35_SOD27_P5.08mm_Horizontal,94.153261,-72.385,-90.0,top
D33,~,D_DO-35_SOD27_P5.08mm_Horizontal,113.191304,-72.385,-90.0,top
D34,~,D_DO-35_SOD27_P5.08mm_Horizontal,132.229348,-72.385,-90.0,top
D35,~,D_DO-35_SOD27_P5.08mm_Horizontal,147.459783,-70.5975,-90.0,top
D36,~,D_DO-35_SOD27_P5.08mm_Horizontal,162.690217,-68.81,-90.0,top
D37,~,D_DO-35_SOD27_P5.08mm_Horizontal,181.728261,-68.81,-90.0,top
D38,~,D_DO-35_SOD27_P5.08mm_Horizontal,189.343478,-72.385,-90.0,top
D39,~,D_DO-35_SOD27_P5.08mm_Horizontal,208.381522,-72.385,-90.0,top
D4,~,D_DO-35_SOD27_P5.08mm_Horizontal,124.61413,-68.81,-90.0,top
D40,~,D_DO-35_SOD27_P5.08mm_Horizontal,227.419565,-72.385,-90.0,top
D41,~,D_DO-35_SOD27_P5.08mm_Horizontal,246.457609,-72.385,-90.0,top
